EVENT,10,91,169.254.13.198,SEND,1448,0,10.013600
EVENT,10,92,169.254.13.198,SEND,1448,0,10.013612
EVENT,10,93,169.254.13.198,SEND,1448,0,10.013624
EVENT,10,94,169.254.13.198,SEND,1448,0,10.013636
EVENT,10,95,169.254.13.198,SEND,1448,0,10.013653
EVENT,10,96,169.254.13.198,SEND,1448,0,10.013662
EVENT,10,97,169.254.13.198,SEND,1448,0,10.013673
EVENT,10,98,169.254.13.198,SEND,1448,0,10.013691
EVENT,10,99,169.254.13.198,SEND,1448,0,10.013697
EVENT,10,100,169.254.13.198,SEND,1448,0,10.013710
EVENT,10,101,169.254.13.198,SEND,1448,0,10.013722
EVENT,12,9,172.27.242.163,SEND,1440,0,10.013739
EVENT,10,102,169.254.13.198,SEND,1448,0,10.013740
EVENT,10,103,169.254.13.198,SEND,1448,0,10.013747
EVENT,10,104,169.254.13.198,SEND,1448,0,10.013764
EVENT,94,2,169.254.13.198,SEND,7,0,10.013705
EVENT,94,3,172.27.242.163,WAIT,7,0,10.013705
EVENT,94,4,172.27.242.163,CLOSE,0,0.0,10.013715
EVENT,94,5,169.254.13.198,WAIT,1,0.0,10.013705
EVENT,94,6,169.254.13.198,CLOSE,0,0.0,10.013715
EVENT,10,105,169.254.13.198,SEND,1448,0,10.013772
EVENT,10,106,169.254.13.198,SEND,1448,0,10.013789
EVENT,10,107,169.254.13.198,SEND,1448,0,10.013797
EVENT,10,108,169.254.13.198,SEND,1448,0,10.013813
EVENT,10,109,169.254.13.198,SEND,1448,0,10.013820
EVENT,10,110,169.254.13.198,SEND,1448,0,10.013837
CONN,32,172.27.242.163,52460,->,169.254.13.198,443,6.003328
EVENT,32,0,169.254.13.198,SEND,349,0,10.003328
EVENT,32,1,169.254.13.198,WAIT,1360,0.000000,10.013863
EVENT,52,7,172.27.242.163,SEND,1,0,10.012863
EVENT,52,8,169.254.13.198,WAIT,2,0.003006,10.013863
EVENT,10,111,169.254.13.198,SEND,1448,0,10.013846
EVENT,104,3,172.27.242.163,SEND,5656,0,10.013542
EVENT,104,4,172.27.242.163,SEND,2828,0,10.014070
